ID,이름,태그,이동 가능,경작 가능,낚시 가능,건설 가능,파괴 가능,상호작용 가능,바닥,벽,물,깊은 물,공기
108,Tileset Grass Spring_196,Ground,1,0,0,0,0,0,1,0,0,0,0
109,Tileset Grass Spring_197,Ground,1,0,0,0,0,0,1,0,0,0,0
110,Tileset Grass Spring_198,Ground,1,0,0,0,0,0,1,0,0,0,0
111,Tileset Grass Spring_199,Ground,1,0,0,0,0,0,1,0,0,0,0
112,Tileset Grass Spring_2,Ground,1,0,0,0,0,0,1,0,0,0,0
113,Tileset Grass Spring_20,Ground,1,0,0,0,0,0,1,0,0,0,0
114,Tileset Grass Spring_200,Ground,1,0,0,0,0,0,1,0,0,0,0
115,Tileset Grass Spring_201,Ground,1,0,0,0,0,0,1,0,0,0,0
116,Tileset Grass Spring_202,Ground,1,0,0,0,0,0,1,0,0,0,0
117,Tileset Grass Spring_203,Ground,1,0,0,0,0,0,1,0,0,0,0
118,Tileset Grass Spring_204,Ground,1,0,0,0,0,0,1,0,0,0,0
119,Tileset Grass Spring_205,Ground,1,0,0,0,0,0,1,0,0,0,0
120,Tileset Grass Spring_206,Ground,1,0,0,0,0,0,1,0,0,0,0
121,Tileset Grass Spring_207,Ground,1,0,0,0,0,0,1,0,0,0,0
122,Tileset Grass Spring_208,Ground,1,0,0,0,0,0,1,0,0,0,0
123,Tileset Grass Spring_209,Ground,1,0,0,0,0,0,1,0,0,0,0
124,Tileset Grass Spring_21,Ground,1,0,0,0,0,0,1,0,0,0,0
125,Tileset Grass Spring_210,Ground,1,0,0,0,0,0,1,0,0,0,0
126,Tileset Grass Spring_211,Ground,1,0,0,0,0,0,1,0,0,0,0
127,Tileset Grass Spring_212,Ground,1,0,0,0,0,0,1,0,0,0,0
128,Tileset Grass Spring_213,Ground,1,0,0,0,0,0,1,0,0,0,0
129,Tileset Grass Spring_214,Ground,1,0,0,0,0,0,1,0,0,0,0
130,Tileset Grass Spring_215,Ground,1,0,0,0,0,0,1,0,0,0,0
131,Tileset Grass Spring_216,Ground,1,0,0,0,0,0,1,0,0,0,0
132,Tileset Grass Spring_217,Ground,1,0,0,0,0,0,1,0,0,0,0
133,Tileset Grass Spring_218,Ground,1,0,0,0,0,0,1,0,0,0,0
134,Tileset Grass Spring_219,Ground,1,0,0,0,0,0,1,0,0,0,0
135,Tileset Grass Spring_22,Ground,1,0,0,0,0,0,1,0,0,0,0
136,Tileset Grass Spring_220,Ground,1,0,0,0,0,0,1,0,0,0,0
137,Tileset Grass Spring_221,Ground,1,0,0,0,0,0,1,0,0,0,0
138,Tileset Grass Spring_222,Ground,1,0,0,0,0,0,1,0,0,0,0
139,Tileset Grass Spring_223,Ground,1,0,0,0,0,0,1,0,0,0,0
140,Tileset Grass Spring_224,Ground,1,0,0,0,0,0,1,0,0,0,0
141,Tileset Grass Spring_225,Ground,1,0,0,0,0,0,1,0,0,0,0
142,Tileset Grass Spring_226,Ground,1,0,0,0,0,0,1,0,0,0,0
143,Tileset Grass Spring_227,Ground,1,0,0,0,0,0,1,0,0,0,0
144,Tileset Grass Spring_228,Ground,1,0,0,0,0,0,1,0,0,0,0
145,Tileset Grass Spring_229,Ground,1,0,0,0,0,0,1,0,0,0,0
146,Tileset Grass Spring_23,Ground,1,0,0,0,0,0,1,0,0,0,0
147,Tileset Grass Spring_230,Ground,1,0,0,0,0,0,1,0,0,0,0
148,Tileset Grass Spring_231,Ground,1,0,0,0,0,0,1,0,0,0,0
149,Tileset Grass Spring_232,Ground,1,0,0,0,0,0,1,0,0,0,0
150,Tileset Grass Spring_233,Ground,1,0,0,0,0,0,1,0,0,0,0
151,Tileset Grass Spring_234,Ground,1,0,0,0,0,0,1,0,0,0,0
152,Tileset Grass Spring_235,Ground,1,0,0,0,0,0,1,0,0,0,0
153,Tileset Grass Spring_236,Ground,1,0,0,0,0,0,1,0,0,0,0
154,Tileset Grass Spring_237,Ground,1,0,0,0,0,0,1,0,0,0,0
155,Tileset Grass Spring_238,Ground,1,0,0,0,0,0,1,0,0,0,0
156,Tileset Grass Spring_239,Ground,1,0,0,0,0,0,1,0,0,0,0
157,Tileset Grass Spring_24,Ground,1,0,0,0,0,0,1,0,0,0,0
158,Tileset Grass Spring_240,Ground,1,0,0,0,0,0,1,0,0,0,0
159,Tileset Grass Spring_241,Ground,1,0,0,0,0,0,1,0,0,0,0
160,Tileset Grass Spring_242,Ground,1,0,0,0,0,0,1,0,0,0,0
161,Tileset Grass Spring_243,Ground,1,0,0,0,0,0,1,0,0,0,0
162,Tileset Grass Spring_244,Ground,1,0,0,0,0,0,1,0,0,0,0
163,Tileset Grass Spring_245,Ground,1,0,0,0,0,0,1,0,0,0,0
164,Tileset Grass Spring_246,Ground,1,0,0,0,0,0,1,0,0,0,0
165,Tileset Grass Spring_247,Ground,1,0,0,0,0,0,1,0,0,0,0
166,Tileset Grass Spring_248,Ground,1,0,0,0,0,0,1,0,0,0,0
167,Tileset Grass Spring_249,Ground,1,0,0,0,0,0,1,0,0,0,0
168,Tileset Grass Spring_25,Ground,1,0,0,0,0,0,1,0,0,0,0
169,Tileset Grass Spring_250,Ground,1,0,0,0,0,0,1,0,0,0,0
170,Tileset Grass Spring_251,Ground,1,0,0,0,0,0,1,0,0,0,0
171,Tileset Grass Spring_252,Ground,1,0,0,0,0,0,1,0,0,0,0
172,Tileset Grass Spring_253,Ground,1,0,0,0,0,0,1,0,0,0,0
173,Tileset Grass Spring_254,Ground,1,0,0,0,0,0,1,0,0,0,0
174,Tileset Grass Spring_255,Ground,1,0,0,0,0,0,1,0,0,0,0
175,Tileset Grass Spring_256,Ground,1,0,0,0,0,0,1,0,0,0,0
176,Tileset Grass Spring_257,Ground,1,0,0,0,0,0,1,0,0,0,0
177,Tileset Grass Spring_258,Ground,1,0,0,0,0,0,1,0,0,0,0
178,Tileset Grass Spring_259,Ground,1,0,0,0,0,0,1,0,0,0,0
179,Tileset Grass Spring_26,Ground,1,0,0,0,0,0,1,0,0,0,0
180,Tileset Grass Spring_260,Ground,1,0,0,0,0,0,1,0,0,0,0
181,Tileset Grass Spring_261,Ground,1,0,0,0,0,0,1,0,0,0,0
182,Tileset Grass Spring_262,Ground,1,0,0,0,0,0,1,0,0,0,0
183,Tileset Grass Spring_263,Ground,1,0,0,0,0,0,1,0,0,0,0
184,Tileset Grass Spring_264,Ground,1,0,0,0,0,0,1,0,0,0,0
185,Tileset Grass Spring_265,Ground,1,0,0,0,0,0,1,0,0,0,0
186,Tileset Grass Spring_266,Ground,1,0,0,0,0,0,1,0,0,0,0
187,Tileset Grass Spring_267,Ground,1,0,0,0,0,0,1,0,0,0,0
188,Tileset Grass Spring_268,Ground,1,0,0,0,0,0,1,0,0,0,0
189,Tileset Grass Spring_269,Ground,1,0,0,0,0,0,1,0,0,0,0
190,Tileset Grass Spring_27,Ground,1,0,0,0,0,0,1,0,0,0,0
191,Tileset Grass Spring_270,Ground,1,0,0,0,0,0,1,0,0,0,0
192,Tileset Grass Spring_271,Ground,1,0,0,0,0,0,1,0,0,0,0
193,Tileset Grass Spring_272,Ground,1,0,0,0,0,0,1,0,0,0,0
194,Tileset Grass Spring_273,Ground,1,0,0,0,0,0,1,0,0,0,0
195,Tileset Grass Spring_274,Ground,1,0,0,0,0,0,1,0,0,0,0
196,Tileset Grass Spring_275,Ground,1,0,0,0,0,0,1,0,0,0,0
197,Tileset Grass Spring_276,Ground,1,0,0,0,0,0,1,0,0,0,0
198,Tileset Grass Spring_277,Ground,1,0,0,0,0,0,1,0,0,0,0
199,Tileset Grass Spring_278,Ground,1,0,0,0,0,0,1,0,0,0,0
200,Tileset Grass Spring_279,Ground,1,0,0,0,0,0,1,0,0,0,0
201,Tileset Grass Spring_28,Ground,1,0,0,0,0,0,1,0,0,0,0
202,Tileset Grass Spring_280,Ground,1,0,0,0,0,0,1,0,0,0,0
203,Tileset Grass Spring_281,Ground,1,0,0,0,0,0,1,0,0,0,0
204,Tileset Grass Spring_282,Ground,1,0,0,0,0,0,1,0,0,0,0
205,Tileset Grass Spring_283,Ground,1,0,0,0,0,0,1,0,0,0,0
206,Tileset Grass Spring_284,Ground,1,0,0,0,0,0,1,0,0,0,0
207,Tileset Grass Spring_285,Ground,1,0,0,0,0,0,1,0,0,0,0
208,Tileset Grass Spring_286,Ground,1,0,0,0,0,0,1,0,0,0,0
209,Tileset Grass Spring_287,Ground,1,0,0,0,0,0,1,0,0,0,0
210,Tileset Grass Spring_288,Ground,1,0,0,0,0,0,1,0,0,0,0
211,Tileset Grass Spring_289,Ground,1,0,0,0,0,0,1,0,0,0,0
212,Tileset Grass Spring_29,Ground,1,0,0,0,0,0,1,0,0,0,0
213,Tileset Grass Spring_290,Ground,1,0,0,0,0,0,1,0,0,0,0
214,Tileset Grass Spring_291,Ground,1,0,0,0,0,0,1,0,0,0,0
215,Tileset Grass Spring_292,Ground,1,0,0,0,0,0,1,0,0,0,0
216,Tileset Grass Spring_293,Ground,1,0,0,0,0,0,1,0,0,0,0
217,Tileset Grass Spring_294,Ground,1,0,0,0,0,0,1,0,0,0,0
218,Tileset Grass Spring_295,Ground,1,0,0,0,0,0,1,0,0,0,0
219,Tileset Grass Spring_296,Ground,1,0,0,0,0,0,1,0,0,0,0
220,Tileset Grass Spring_297,Ground,1,0,0,0,0,0,1,0,0,0,0
221,Tileset Grass Spring_298,Ground,1,0,0,0,0,0,1,0,0,0,0
222,Tileset Grass Spring_299,Ground,1,0,0,0,0,0,1,0,0,0,0
223,Tileset Grass Spring_3,Ground,1,0,0,0,0,0,1,0,0,0,0
224,Tileset Grass Spring_30,Ground,1,0,0,0,0,0,1,0,0,0,0
225,Tileset Grass Spring_300,Ground,1,0,0,0,0,0,1,0,0,0,0
226,Tileset Grass Spring_301,Ground,1,0,0,0,0,0,1,0,0,0,0
227,Tileset Grass Spring_302,Ground,1,0,0,0,0,0,1,0,0,0,0
228,Tileset Grass Spring_303,Ground,1,0,0,0,0,0,1,0,0,0,0
229,Tileset Grass Spring_304,Ground,1,0,0,0,0,0,1,0,0,0,0
230,Tileset Grass Spring_305,Ground,1,0,0,0,0,0,1,0,0,0,0
231,Tileset Grass Spring_306,Ground,1,0,0,0,0,0,1,0,0,0,0
232,Tileset Grass Spring_307,Ground,1,0,0,0,0,0,1,0,0,0,0
233,Tileset Grass Spring_308,Ground,1,0,0,0,0,0,1,0,0,0,0
234,Tileset Grass Spring_309,Ground,1,0,0,0,0,0,1,0,0,0,0
235,Tileset Grass Spring_31,Ground,1,0,0,0,0,0,1,0,0,0,0
236,Tileset Grass Spring_310,Ground,1,0,0,0,0,0,1,0,0,0,0
237,Tileset Grass Spring_311,Ground,1,0,0,0,0,0,1,0,0,0,0
238,Tileset Grass Spring_312,Ground,1,0,0,0,0,0,1,0,0,0,0
239,Tileset Grass Spring_313,Ground,1,0,0,0,0,0,1,0,0,0,0
240,Tileset Grass Spring_314,Ground,1,0,0,0,0,0,1,0,0,0,0
241,Tileset Grass Spring_315,Ground,1,0,0,0,0,0,1,0,0,0,0
242,Tileset Grass Spring_316,Ground,1,0,0,0,0,0,1,0,0,0,0
243,Tileset Grass Spring_317,Ground,1,0,0,0,0,0,1,0,0,0,0
244,Tileset Grass Spring_318,Ground,1,0,0,0,0,0,1,0,0,0,0
245,Tileset Grass Spring_319,Ground,1,0,0,0,0,0,1,0,0,0,0
246,Tileset Grass Spring_32,Ground,1,0,0,0,0,0,1,0,0,0,0
247,Tileset Grass Spring_320,Ground,1,0,0,0,0,0,1,0,0,0,0
248,Tileset Grass Spring_321,Ground,1,0,0,0,0,0,1,0,0,0,0
249,Tileset Grass Spring_322,Ground,1,0,0,0,0,0,1,0,0,0,0
250,Tileset Grass Spring_323,Ground,1,0,0,0,0,0,1,0,0,0,0
251,Tileset Grass Spring_324,Ground,1,0,0,0,0,0,1,0,0,0,0
252,Tileset Grass Spring_325,Ground,1,0,0,0,0,0,1,0,0,0,0
253,Tileset Grass Spring_326,Ground,1,0,0,0,0,0,1,0,0,0,0
254,Tileset Grass Spring_327,Ground,1,0,0,0,0,0,1,0,0,0,0
255,Tileset Grass Spring_328,Ground,1,0,0,0,0,0,1,0,0,0,0
256,Tileset Grass Spring_329,Ground,1,0,0,0,0,0,1,0,0,0,0
257,Tileset Grass Spring_33,Ground,1,0,0,0,0,0,1,0,0,0,0
258,Tileset Grass Spring_330,Ground,1,0,0,0,0,0,1,0,0,0,0
259,Tileset Grass Spring_331,Ground,1,0,0,0,0,0,1,0,0,0,0
260,Tileset Grass Spring_332,Ground,1,0,0,0,0,0,1,0,0,0,0
261,Tileset Grass Spring_333,Ground,1,0,0,0,0,0,1,0,0,0,0
262,Tileset Grass Spring_334,Ground,1,0,0,0,0,0,1,0,0,0,0
263,Tileset Grass Spring_335,Ground,1,0,0,0,0,0,1,0,0,0,0
264,Tileset Grass Spring_336,Ground,1,0,0,0,0,0,1,0,0,0,0
265,Tileset Grass Spring_337,Ground,1,0,0,0,0,0,1,0,0,0,0
266,Tileset Grass Spring_338,Ground,1,0,0,0,0,0,1,0,0,0,0
267,Tileset Grass Spring_339,Ground,1,0,0,0,0,0,1,0,0,0,0
268,Tileset Grass Spring_34,Ground,1,0,0,0,0,0,1,0,0,0,0
269,Tileset Grass Spring_340,Ground,1,0,0,0,0,0,1,0,0,0,0
270,Tileset Grass Spring_341,Ground,1,0,0,0,0,0,1,0,0,0,0
271,Tileset Grass Spring_342,Ground,1,0,0,0,0,0,1,0,0,0,0
272,Tileset Grass Spring_343,Ground,1,0,0,0,0,0,1,0,0,0,0
273,Tileset Grass Spring_344,Ground,1,0,0,0,0,0,1,0,0,0,0
274,Tileset Grass Spring_345,Ground,1,0,0,0,0,0,1,0,0,0,0
275,Tileset Grass Spring_346,Ground,1,0,0,0,0,0,1,0,0,0,0
276,Tileset Grass Spring_347,Ground,1,0,0,0,0,0,1,0,0,0,0
277,Tileset Grass Spring_348,Ground,1,0,0,0,0,0,1,0,0,0,0
278,Tileset Grass Spring_349,Ground,1,0,0,0,0,0,1,0,0,0,0
279,Tileset Grass Spring_35,Ground,1,0,0,0,0,0,1,0,0,0,0
280,Tileset Grass Spring_350,Ground,1,0,0,0,0,0,1,0,0,0,0
281,Tileset Grass Spring_351,Ground,1,0,0,0,0,0,1,0,0,0,0
282,Tileset Grass Spring_352,Ground,1,0,0,0,0,0,1,0,0,0,0
283,Tileset Grass Spring_353,Ground,1,0,0,0,0,0,1,0,0,0,0
284,Tileset Grass Spring_354,Ground,1,0,0,0,0,0,1,0,0,0,0
285,Tileset Grass Spring_355,Ground,1,0,0,0,0,0,1,0,0,0,0
286,Tileset Grass Spring_356,Ground,1,0,0,0,0,0,1,0,0,0,0
287,Tileset Grass Spring_357,Ground,1,0,0,0,0,0,1,0,0,0,0
288,Tileset Grass Spring_358,Ground,1,0,0,0,0,0,1,0,0,0,0
289,Tileset Grass Spring_359,Ground,1,0,0,0,0,0,1,0,0,0,0
290,Tileset Grass Spring_36,Ground,1,0,0,0,0,0,1,0,0,0,0
291,Tileset Grass Spring_360,Ground,1,0,0,0,0,0,1,0,0,0,0
292,Tileset Grass Spring_361,Ground,1,0,0,0,0,0,1,0,0,0,0
293,Tileset Grass Spring_362,Ground,1,0,0,0,0,0,1,0,0,0,0
294,Tileset Grass Spring_363,Ground,1,0,0,0,0,0,1,0,0,0,0
295,Tileset Grass Spring_364,Ground,1,0,0,0,0,0,1,0,0,0,0
296,Tileset Grass Spring_365,Ground,1,0,0,0,0,0,1,0,0,0,0
297,Tileset Grass Spring_366,Ground,1,0,0,0,0,0,1,0,0,0,0
298,Tileset Grass Spring_367,Ground,1,0,0,0,0,0,1,0,0,0,0
299,Tileset Grass Spring_368,Ground,1,0,0,0,0,0,1,0,0,0,0
300,Tileset Grass Spring_369,Ground,1,0,0,0,0,0,1,0,0,0,0
301,Tileset Grass Spring_37,Ground,1,0,0,0,0,0,1,0,0,0,0
302,Tileset Grass Spring_370,Ground,1,0,0,0,0,0,1,0,0,0,0
303,Tileset Grass Spring_371,Ground,1,0,0,0,0,0,1,0,0,0,0
304,Tileset Grass Spring_372,Ground,1,0,0,0,0,0,1,0,0,0,0
305,Tileset Grass Spring_373,Ground,1,0,0,0,0,0,1,0,0,0,0
306,Tileset Grass Spring_374,Ground,1,0,0,0,0,0,1,0,0,0,0
307,Tileset Grass Spring_375,Ground,1,0,0,0,0,0,1,0,0,0,0
308,Tileset Grass Spring_376,Ground,1,0,0,0,0,0,1,0,0,0,0
309,Tileset Grass Spring_377,Ground,1,0,0,0,0,0,1,0,0,0,0
310,Tileset Grass Spring_378,Ground,1,0,0,0,0,0,1,0,0,0,0
311,Tileset Grass Spring_379,Ground,1,0,0,0,0,0,1,0,0,0,0
312,Tileset Grass Spring_38,Ground,1,0,0,0,0,0,1,0,0,0,0
313,Tileset Grass Spring_380,Ground,1,0,0,0,0,0,1,0,0,0,0
314,Tileset Grass Spring_381,Ground,1,0,0,0,0,0,1,0,0,0,0
315,Tileset Grass Spring_382,Ground,1,0,0,0,0,0,1,0,0,0,0
316,Tileset Grass Spring_383,Ground,1,0,0,0,0,0,1,0,0,0,0
317,Tileset Grass Spring_384,Ground,1,0,0,0,0,0,1,0,0,0,0
318,Tileset Grass Spring_385,Ground,1,0,0,0,0,0,1,0,0,0,0
319,Tileset Grass Spring_386,Ground,1,0,0,0,0,0,1,0,0,0,0
320,Tileset Grass Spring_387,Ground,1,0,0,0,0,0,1,0,0,0,0
321,Tileset Grass Spring_388,Ground,1,0,0,0,0,0,1,0,0,0,0
322,Tileset Grass Spring_389,Ground,1,0,0,0,0,0,1,0,0,0,0
323,Tileset Grass Spring_39,Ground,1,0,0,0,0,0,1,0,0,0,0
324,Tileset Grass Spring_390,Ground,1,0,0,0,0,0,1,0,0,0,0
325,Tileset Grass Spring_391,Ground,1,0,0,0,0,0,1,0,0,0,0
326,Tileset Grass Spring_392,Ground,1,0,0,0,0,0,1,0,0,0,0
327,Tileset Grass Spring_393,Ground,1,0,0,0,0,0,1,0,0,0,0
328,Tileset Grass Spring_394,Ground,1,0,0,0,0,0,1,0,0,0,0
329,Tileset Grass Spring_395,Ground,1,0,0,0,0,0,1,0,0,0,0
330,Tileset Grass Spring_396,Ground,1,0,0,0,0,0,1,0,0,0,0
331,Tileset Grass Spring_397,Ground,1,0,0,0,0,0,1,0,0,0,0
332,Tileset Grass Spring_398,Ground,1,0,0,0,0,0,1,0,0,0,0
333,Tileset Grass Spring_399,Ground,1,0,0,0,0,0,1,0,0,0,0
334,Tileset Grass Spring_4,Ground,1,0,0,0,0,0,1,0,0,0,0
335,Tileset Grass Spring_40,Ground,1,0,0,0,0,0,1,0,0,0,0
336,Tileset Grass Spring_400,Ground,1,0,0,0,0,0,1,0,0,0,0
337,Tileset Grass Spring_401,Ground,1,0,0,0,0,0,1,0,0,0,0
