ID,이름,태그,이동 가능,경작 가능,낚시 가능,건설 가능,상호작용 가능,바다 낚시 가능
74,Beach animations tiles_165,Ground,0,0,0,0,0,0
75,Beach animations tiles_166,Ground,0,0,0,0,0,0
76,Beach animations tiles_167,Ground,0,0,0,0,0,0
77,Beach animations tiles_168,Ground,0,0,0,0,0,0
78,Beach animations tiles_169,Ground,0,0,0,0,0,0
79,Beach animations tiles_17,Ground,0,0,0,0,0,0
80,Beach animations tiles_170,Ground,0,0,0,0,0,0
81,Beach animations tiles_171,Ground,0,0,0,0,0,0
82,Beach animations tiles_172,Ground,0,0,0,0,0,0
83,Beach animations tiles_173,Ground,0,0,0,0,0,0
84,Beach animations tiles_174,Ground,0,0,0,0,0,0
85,Beach animations tiles_175,Ground,0,0,0,0,0,0
86,Beach animations tiles_176,Ground,0,0,0,0,0,0
87,Beach animations tiles_177,Ground,0,0,0,0,0,0
88,Beach animations tiles_178,Ground,0,0,0,0,0,0
89,Beach animations tiles_179,Ground,0,0,0,0,0,0
90,Beach animations tiles_18,Ground,0,0,0,0,0,0
91,Beach animations tiles_180,Ground,0,0,0,0,0,0
92,Beach animations tiles_181,Ground,0,0,0,0,0,0
93,Beach animations tiles_182,Ground,0,0,0,0,0,0
94,Beach animations tiles_183,Ground,0,0,0,0,0,0
95,Beach animations tiles_184,Ground,0,0,0,0,0,0
96,Beach animations tiles_185,Ground,0,0,0,0,0,0
97,Beach animations tiles_186,Ground,0,0,0,0,0,0
98,Beach animations tiles_187,Ground,0,0,0,0,0,0
99,Beach animations tiles_188,Ground,0,0,0,0,0,0
100,Beach animations tiles_189,Ground,0,0,0,0,0,0
101,Beach animations tiles_19,Ground,0,0,0,0,0,0
102,Beach animations tiles_190,Ground,0,0,0,0,0,0
103,Beach animations tiles_191,Ground,0,0,0,0,0,0
104,Beach animations tiles_192,Ground,0,0,0,0,0,0
105,Beach animations tiles_193,Ground,0,0,0,0,0,0
106,Beach animations tiles_194,Ground,0,0,0,0,0,0
107,Beach animations tiles_195,Ground,0,0,0,0,0,0
108,Beach animations tiles_196,Ground,0,0,0,0,0,0
109,Beach animations tiles_197,Ground,0,0,0,0,0,0
110,Beach animations tiles_198,Ground,0,0,0,0,0,0
111,Beach animations tiles_199,Ground,0,0,0,0,0,0
112,Beach animations tiles_2,Ground,0,0,0,0,0,0
113,Beach animations tiles_20,Ground,0,0,0,0,0,0
114,Beach animations tiles_200,Ground,0,0,0,0,0,0
115,Beach animations tiles_201,Ground,0,0,0,0,0,0
116,Beach animations tiles_202,Ground,0,0,0,0,0,0
117,Beach animations tiles_203,Ground,0,0,0,0,0,0
118,Beach animations tiles_204,Ground,0,0,0,0,0,0
119,Beach animations tiles_205,Ground,0,0,0,0,0,0
120,Beach animations tiles_206,Ground,0,0,0,0,0,0
121,Beach animations tiles_207,Ground,0,0,0,0,0,0
122,Beach animations tiles_208,Ground,0,0,0,0,0,0
123,Beach animations tiles_209,Ground,0,0,0,0,0,0
124,Beach animations tiles_21,Ground,0,0,0,0,0,0
125,Beach animations tiles_210,Ground,0,0,0,0,0,0
126,Beach animations tiles_211,Ground,0,0,0,0,0,0
127,Beach animations tiles_212,Ground,0,0,0,0,0,0
128,Beach animations tiles_213,Ground,0,0,0,0,0,0
129,Beach animations tiles_214,Ground,0,0,0,0,0,0
130,Beach animations tiles_215,Ground,0,0,0,0,0,0
131,Beach animations tiles_216,Ground,0,0,0,0,0,0
132,Beach animations tiles_217,Ground,0,0,0,0,0,0
133,Beach animations tiles_218,Ground,0,0,0,0,0,0
134,Beach animations tiles_219,Ground,0,0,0,0,0,0
135,Beach animations tiles_22,Ground,0,0,0,0,0,0
136,Beach animations tiles_220,Ground,0,0,0,0,0,0
137,Beach animations tiles_221,Ground,0,0,0,0,0,0
138,Beach animations tiles_222,Ground,0,0,0,0,0,0
139,Beach animations tiles_223,Ground,0,0,0,0,0,0
140,Beach animations tiles_224,Ground,0,0,0,0,0,0
141,Beach animations tiles_225,Ground,0,0,0,0,0,0
142,Beach animations tiles_226,Ground,0,0,0,0,0,0
143,Beach animations tiles_227,Ground,0,0,0,0,0,0
144,Beach animations tiles_228,Ground,0,0,0,0,0,0
145,Beach animations tiles_229,Ground,0,0,0,0,0,0
146,Beach animations tiles_23,Ground,0,0,0,0,0,0
147,Beach animations tiles_230,Ground,0,0,0,0,0,0
148,Beach animations tiles_231,Ground,0,0,0,0,0,0
149,Beach animations tiles_232,Ground,0,0,0,0,0,0
150,Beach animations tiles_233,Ground,0,0,0,0,0,0
151,Beach animations tiles_234,Ground,0,0,0,0,0,0
152,Beach animations tiles_235,Ground,0,0,0,0,0,0
153,Beach animations tiles_236,Ground,0,0,0,0,0,0
154,Beach animations tiles_237,Ground,0,0,0,0,0,0
155,Beach animations tiles_238,Ground,0,0,0,0,0,0
156,Beach animations tiles_239,Ground,0,0,0,0,0,0
157,Beach animations tiles_24,Ground,0,0,0,0,0,0
158,Beach animations tiles_240,Ground,0,0,0,0,0,0
159,Beach animations tiles_241,Ground,0,0,0,0,0,0
160,Beach animations tiles_242,Ground,0,0,0,0,0,0
161,Beach animations tiles_243,Ground,0,0,0,0,0,0
162,Beach animations tiles_244,Ground,0,0,0,0,0,0
163,Beach animations tiles_245,Ground,0,0,0,0,0,0
164,Beach animations tiles_246,Ground,0,0,0,0,0,0
165,Beach animations tiles_247,Ground,0,0,0,0,0,0
166,Beach animations tiles_248,Ground,0,0,0,0,0,0
167,Beach animations tiles_249,Ground,0,0,0,0,0,0
168,Beach animations tiles_25,Ground,0,0,0,0,0,0
169,Beach animations tiles_250,Ground,0,0,0,0,0,0
170,Beach animations tiles_251,Ground,0,0,0,0,0,0
171,Beach animations tiles_252,Ground,0,0,0,0,0,0
172,Beach animations tiles_253,Ground,0,0,0,0,0,0
173,Beach animations tiles_254,Ground,0,0,0,0,0,0
174,Beach animations tiles_255,Ground,0,0,0,0,0,0
175,Beach animations tiles_256,Ground,0,0,0,0,0,0
176,Beach animations tiles_257,Ground,0,0,0,0,0,0
177,Beach animations tiles_258,Ground,0,0,0,0,0,0
178,Beach animations tiles_259,Ground,0,0,0,0,0,0
179,Beach animations tiles_26,Ground,0,0,0,0,0,0
180,Beach animations tiles_260,Ground,0,0,0,0,0,0
181,Beach animations tiles_261,Ground,0,0,0,0,0,0
182,Beach animations tiles_262,Ground,0,0,0,0,0,0
183,Beach animations tiles_263,Ground,0,0,0,0,0,0
184,Beach animations tiles_264,Ground,0,0,0,0,0,0
185,Beach animations tiles_265,Ground,0,0,0,0,0,0
186,Beach animations tiles_266,Ground,0,0,0,0,0,0
187,Beach animations tiles_267,Ground,0,0,0,0,0,0
188,Beach animations tiles_268,Ground,0,0,0,0,0,0
189,Beach animations tiles_269,Ground,0,0,0,0,0,0
190,Beach animations tiles_27,Ground,0,0,0,0,0,0
191,Beach animations tiles_270,Ground,0,0,0,0,0,0
192,Beach animations tiles_271,Ground,0,0,0,0,0,0
193,Beach animations tiles_272,Ground,0,0,0,0,0,0
194,Beach animations tiles_273,Ground,0,0,0,0,0,0
195,Beach animations tiles_274,Ground,0,0,0,0,0,0
196,Beach animations tiles_275,Ground,0,0,0,0,0,0
197,Beach animations tiles_276,Ground,0,0,0,0,0,0
198,Beach animations tiles_277,Ground,0,0,0,0,0,0
199,Beach animations tiles_278,Ground,0,0,0,0,0,0
200,Beach animations tiles_279,Ground,0,0,0,0,0,0
201,Beach animations tiles_28,Ground,0,0,0,0,0,0
202,Beach animations tiles_280,Ground,0,0,0,0,0,0
203,Beach animations tiles_281,Ground,0,0,0,0,0,0
204,Beach animations tiles_282,Ground,0,0,0,0,0,0
205,Beach animations tiles_283,Ground,0,0,0,0,0,0
206,Beach animations tiles_284,Ground,0,0,0,0,0,0
207,Beach animations tiles_285,Ground,0,0,0,0,0,0
208,Beach animations tiles_286,Ground,0,0,0,0,0,0
209,Beach animations tiles_287,Ground,0,0,0,0,0,0
210,Beach animations tiles_288,Ground,0,0,0,0,0,0
211,Beach animations tiles_289,Ground,0,0,0,0,0,0
212,Beach animations tiles_29,Ground,0,0,0,0,0,0
213,Beach animations tiles_290,Ground,0,0,0,0,0,0
214,Beach animations tiles_291,Ground,0,0,0,0,0,0
215,Beach animations tiles_292,Ground,0,0,0,0,0,0
216,Beach animations tiles_293,Ground,0,0,0,0,0,0
217,Beach animations tiles_294,Ground,0,0,0,0,0,0
218,Beach animations tiles_295,Ground,0,0,0,0,0,0
219,Beach animations tiles_296,Ground,0,0,0,0,0,0
220,Beach animations tiles_297,Ground,0,0,0,0,0,0
221,Beach animations tiles_298,Ground,0,0,0,0,0,0
222,Beach animations tiles_299,Ground,0,0,0,0,0,0
223,Beach animations tiles_3,Ground,0,0,0,0,0,0
224,Beach animations tiles_30,Ground,0,0,0,0,0,0
225,Beach animations tiles_300,Ground,0,0,0,0,0,0
226,Beach animations tiles_301,Ground,0,0,0,0,0,0
227,Beach animations tiles_302,Ground,0,0,0,0,0,0
228,Beach animations tiles_303,Ground,0,0,0,0,0,0
229,Beach animations tiles_304,Ground,0,0,0,0,0,0
230,Beach animations tiles_305,Ground,0,0,0,0,0,0
231,Beach animations tiles_306,Ground,0,0,0,0,0,0
232,Beach animations tiles_307,Ground,0,0,0,0,0,0
233,Beach animations tiles_308,Ground,0,0,0,0,0,0
234,Beach animations tiles_309,Ground,0,0,0,0,0,0
235,Beach animations tiles_31,Ground,0,0,0,0,0,0
236,Beach animations tiles_310,Ground,0,0,0,0,0,0
237,Beach animations tiles_311,Ground,0,0,0,0,0,0
238,Beach animations tiles_312,Ground,0,0,0,0,0,0
239,Beach animations tiles_313,Ground,0,0,0,0,0,0
240,Beach animations tiles_314,Ground,0,0,0,0,0,0
241,Beach animations tiles_315,Ground,0,0,0,0,0,0
242,Beach animations tiles_316,Ground,0,0,0,0,0,0
243,Beach animations tiles_317,Ground,0,0,0,0,0,0
244,Beach animations tiles_318,Ground,0,0,0,0,0,0
245,Beach animations tiles_319,Ground,0,0,0,0,0,0
246,Beach animations tiles_32,Ground,0,0,0,0,0,0
247,Beach animations tiles_320,Ground,0,0,0,0,0,0
248,Beach animations tiles_321,Ground,0,0,0,0,0,0
249,Beach animations tiles_322,Ground,0,0,0,0,0,0
250,Beach animations tiles_323,Ground,0,0,0,0,0,0
251,Beach animations tiles_324,Ground,0,0,0,0,0,0
252,Beach animations tiles_325,Ground,0,0,0,0,0,0
253,Beach animations tiles_326,Ground,0,0,0,0,0,0
254,Beach animations tiles_327,Ground,0,0,0,0,0,0
255,Beach animations tiles_328,Ground,0,0,0,0,0,0
256,Beach animations tiles_329,Ground,0,0,0,0,0,0
257,Beach animations tiles_33,Ground,0,0,0,0,0,0
258,Beach animations tiles_330,Ground,0,0,0,0,0,0
259,Beach animations tiles_34,Ground,0,0,0,0,0,0
260,Beach animations tiles_35,Ground,0,0,0,0,0,0
261,Beach animations tiles_36,Ground,0,0,0,0,0,0
262,Beach animations tiles_37,Ground,0,0,0,0,0,0
263,Beach animations tiles_38,Ground,0,0,0,0,0,0
264,Beach animations tiles_39,Ground,0,0,0,0,0,0
265,Beach animations tiles_4,Ground,0,0,0,0,0,0
266,Beach animations tiles_40,Ground,0,0,0,0,0,0
267,Beach animations tiles_41,Ground,0,0,0,0,0,0
268,Beach animations tiles_42,Ground,0,0,0,0,0,0
269,Beach animations tiles_43,Ground,0,0,0,0,0,0
270,Beach animations tiles_44,Ground,0,0,0,0,0,0
271,Beach animations tiles_45,Ground,0,0,0,0,0,0
272,Beach animations tiles_46,Ground,0,0,0,0,0,0
273,Beach animations tiles_47,Ground,0,0,0,0,0,0
274,Beach animations tiles_48,Ground,0,0,0,0,0,0
275,Beach animations tiles_49,Ground,0,0,0,0,0,0
276,Beach animations tiles_5,Ground,0,0,0,0,0,0
277,Beach animations tiles_50,Ground,0,0,0,0,0,0
278,Beach animations tiles_51,Ground,0,0,0,0,0,0
279,Beach animations tiles_52,Ground,0,0,0,0,0,0
280,Beach animations tiles_53,Ground,0,0,0,0,0,0
281,Beach animations tiles_54,Ground,0,0,0,0,0,0
282,Beach animations tiles_55,Ground,0,0,0,0,0,0
283,Beach animations tiles_56,Ground,0,0,0,0,0,0
284,Beach animations tiles_57,Ground,0,0,0,0,0,0
285,Beach animations tiles_58,Ground,0,0,0,0,0,0
286,Beach animations tiles_59,Ground,0,0,0,0,0,0
287,Beach animations tiles_6,Ground,0,0,0,0,0,0
288,Beach animations tiles_60,Ground,0,0,0,0,0,0
289,Beach animations tiles_61,Ground,0,0,0,0,0,0
290,Beach animations tiles_62,Ground,0,0,0,0,0,0
291,Beach animations tiles_63,Ground,0,0,0,0,0,0
292,Beach animations tiles_64,Ground,0,0,0,0,0,0
293,Beach animations tiles_65,Ground,0,0,0,0,0,0
294,Beach animations tiles_66,Ground,0,0,0,0,0,0
295,Beach animations tiles_67,Ground,0,0,0,0,0,0
296,Beach animations tiles_68,Ground,0,0,0,0,0,0
297,Beach animations tiles_69,Ground,0,0,0,0,0,0
298,Beach animations tiles_7,Ground,0,0,0,0,0,0
299,Beach animations tiles_70,Ground,0,0,0,0,0,0
300,Beach animations tiles_71,Ground,0,0,0,0,0,0
301,Beach animations tiles_72,Ground,0,0,0,0,0,0
302,Beach animations tiles_73,Ground,0,0,0,0,0,0
303,Beach animations tiles_74,Ground,0,0,0,0,0,0
304,Beach animations tiles_75,Ground,0,0,0,0,0,0
305,Beach animations tiles_76,Ground,0,0,0,0,0,0
306,Beach animations tiles_77,Ground,0,0,0,0,0,0
307,Beach animations tiles_78,Ground,0,0,0,0,0,0
308,Beach animations tiles_79,Ground,0,0,0,0,0,0
309,Beach animations tiles_8,Ground,0,0,0,0,0,0
310,Beach animations tiles_80,Ground,0,0,0,0,0,0
311,Beach animations tiles_81,Ground,0,0,0,0,0,0
312,Beach animations tiles_82,Ground,0,0,0,0,0,0
313,Beach animations tiles_83,Ground,0,0,0,0,0,0
314,Beach animations tiles_84,Ground,0,0,0,0,0,0
315,Beach animations tiles_85,Ground,0,0,0,0,0,0
316,Beach animations tiles_86,Ground,0,0,0,0,0,0
317,Beach animations tiles_87,Ground,0,0,0,0,0,0
318,Beach animations tiles_88,Ground,0,0,0,0,0,0
319,Beach animations tiles_89,Ground,0,0,0,0,0,0
320,Beach animations tiles_9,Ground,0,0,0,0,0,0
321,Beach animations tiles_90,Ground,0,0,0,0,0,0
322,Beach animations tiles_91,Ground,0,0,0,0,0,0
323,Beach animations tiles_92,Ground,0,0,0,0,0,0
324,Beach animations tiles_93,Ground,0,0,0,0,0,0
325,Beach animations tiles_94,Ground,0,0,0,0,0,0
326,Beach animations tiles_95,Ground,0,0,0,0,0,0
327,Beach animations tiles_96,Ground,0,0,0,0,0,0
328,Beach animations tiles_97,Ground,0,0,0,0,0,0
329,Beach animations tiles_98,Ground,0,0,0,0,0,0
330,Beach animations tiles_99,Ground,0,0,0,0,0,0
331,Caves_0,Ground,0,0,0,0,0,0
332,Caves_1,Ground,0,0,0,0,0,0
333,Caves_10,Ground,0,0,0,0,0,0
334,Caves_100,Ground,0,0,0,0,0,0
335,Caves_1000,Ground,0,0,0,0,0,0
336,Caves_1001,Ground,0,0,0,0,0,0
337,Caves_1002,Ground,0,0,0,0,0,0
338,Caves_1003,Ground,0,0,0,0,0,0
339,Caves_1004,Ground,0,0,0,0,0,0
340,Caves_1005,Ground,0,0,0,0,0,0
341,Caves_1006,Ground,0,0,0,0,0,0
342,Caves_1007,Ground,0,0,0,0,0,0
343,Caves_1008,Ground,0,0,0,0,0,0
344,Caves_1009,Ground,0,0,0,0,0,0
345,Caves_101,Ground,0,0,0,0,0,0
346,Caves_1010,Ground,0,0,0,0,0,0
347,Caves_1011,Ground,0,0,0,0,0,0
348,Caves_1012,Ground,0,0,0,0,0,0
349,Caves_1013,Ground,0,0,0,0,0,0
350,Caves_1014,Ground,0,0,0,0,0,0
351,Caves_1015,Ground,0,0,0,0,0,0
352,Caves_1016,Ground,0,0,0,0,0,0
353,Caves_1017,Ground,0,0,0,0,0,0
354,Caves_1018,Ground,0,0,0,0,0,0
355,Caves_1019,Ground,0,0,0,0,0,0
356,Caves_102,Ground,0,0,0,0,0,0
357,Caves_1020,Ground,0,0,0,0,0,0
358,Caves_1021,Ground,0,0,0,0,0,0
359,Caves_1022,Ground,0,0,0,0,0,0
360,Caves_1023,Ground,0,0,0,0,0,0
361,Caves_1024,Ground,0,0,0,0,0,0
362,Caves_1025,Ground,0,0,0,0,0,0
363,Caves_1026,Ground,0,0,0,0,0,0
364,Caves_1027,Ground,0,0,0,0,0,0
365,Caves_1028,Ground,0,0,0,0,0,0
366,Caves_1029,Ground,0,0,0,0,0,0
367,Caves_103,Ground,0,0,0,0,0,0
368,Caves_1030,Ground,0,0,0,0,0,0
369,Caves_1031,Ground,0,0,0,0,0,0
370,Caves_1032,Ground,0,0,0,0,0,0
371,Caves_1033,Ground,0,0,0,0,0,0
372,Caves_1034,Ground,0,0,0,0,0,0
373,Caves_1035,Ground,0,0,0,0,0,0
374,Caves_1036,Ground,0,0,0,0,0,0
375,Caves_1037,Ground,0,0,0,0,0,0
376,Caves_1038,Ground,0,0,0,0,0,0
377,Caves_1039,Ground,0,0,0,0,0,0
378,Caves_104,Ground,0,0,0,0,0,0
379,Caves_1040,Ground,0,0,0,0,0,0
380,Caves_1041,Ground,0,0,0,0,0,0
381,Caves_1042,Ground,0,0,0,0,0,0
382,Caves_1043,Ground,0,0,0,0,0,0
383,Caves_1044,Ground,0,0,0,0,0,0
384,Caves_1045,Ground,0,0,0,0,0,0
385,Caves_1046,Ground,0,0,0,0,0,0
386,Caves_1047,Ground,0,0,0,0,0,0
387,Caves_1048,Ground,0,0,0,0,0,0
388,Caves_1049,Ground,0,0,0,0,0,0
389,Caves_105,Ground,0,0,0,0,0,0
390,Caves_1050,Ground,0,0,0,0,0,0
391,Caves_1051,Ground,0,0,0,0,0,0
392,Caves_1052,Ground,0,0,0,0,0,0
393,Caves_1053,Ground,0,0,0,0,0,0
394,Caves_1054,Ground,0,0,0,0,0,0
395,Caves_1055,Ground,0,0,0,0,0,0
396,Caves_1056,Ground,0,0,0,0,0,0
397,Caves_1057,Ground,0,0,0,0,0,0
398,Caves_1058,Ground,0,0,0,0,0,0
399,Caves_1059,Ground,0,0,0,0,0,0
400,Caves_106,Ground,0,0,0,0,0,0
401,Caves_1060,Ground,0,0,0,0,0,0
402,Caves_1061,Ground,0,0,0,0,0,0
403,Caves_1062,Ground,0,0,0,0,0,0
404,Caves_1063,Ground,0,0,0,0,0,0
405,Caves_1064,Ground,0,0,0,0,0,0
406,Caves_1065,Ground,0,0,0,0,0,0
407,Caves_1066,Ground,0,0,0,0,0,0
408,Caves_1067,Ground,0,0,0,0,0,0
409,Caves_1068,Ground,0,0,0,0,0,0
410,Caves_1069,Ground,0,0,0,0,0,0
411,Caves_107,Ground,0,0,0,0,0,0
412,Caves_1070,Ground,0,0,0,0,0,0
413,Caves_1071,Ground,0,0,0,0,0,0
414,Caves_1072,Ground,0,0,0,0,0,0
415,Caves_1073,Ground,0,0,0,0,0,0
416,Caves_1074,Ground,0,0,0,0,0,0
417,Caves_1075,Ground,0,0,0,0,0,0
418,Caves_1076,Ground,0,0,0,0,0,0
419,Caves_1077,Ground,0,0,0,0,0,0
420,Caves_1078,Ground,0,0,0,0,0,0
421,Caves_1079,Ground,0,0,0,0,0,0
422,Caves_108,Ground,0,0,0,0,0,0
423,Caves_1080,Ground,0,0,0,0,0,0
424,Caves_1081,Ground,0,0,0,0,0,0
425,Caves_1082,Ground,0,0,0,0,0,0
426,Caves_1083,Ground,0,0,0,0,0,0
427,Caves_1084,Ground,0,0,0,0,0,0
428,Caves_1085,Ground,0,0,0,0,0,0
429,Caves_1086,Ground,0,0,0,0,0,0
430,Caves_1087,Ground,0,0,0,0,0,0
431,Caves_1088,Ground,0,0,0,0,0,0
432,Caves_1089,Ground,0,0,0,0,0,0
433,Caves_109,Ground,0,0,0,0,0,0
434,Caves_1090,Ground,0,0,0,0,0,0
435,Caves_1091,Ground,0,0,0,0,0,0
436,Caves_1092,Ground,0,0,0,0,0,0
437,Caves_1093,Ground,0,0,0,0,0,0
438,Caves_1094,Ground,0,0,0,0,0,0
439,Caves_1095,Ground,0,0,0,0,0,0
440,Caves_1096,Ground,0,0,0,0,0,0
441,Caves_1097,Ground,0,0,0,0,0,0
442,Caves_1098,Ground,0,0,0,0,0,0
443,Caves_1099,Ground,0,0,0,0,0,0
444,Caves_11,Ground,0,0,0,0,0,0
445,Caves_110,Ground,0,0,0,0,0,0
446,Caves_1100,Ground,0,0,0,0,0,0
447,Caves_1101,Ground,0,0,0,0,0,0
448,Caves_1102,Ground,0,0,0,0,0,0
449,Caves_1103,Ground,0,0,0,0,0,0
450,Caves_1104,Ground,0,0,0,0,0,0
451,Caves_1105,Ground,0,0,0,0,0,0
452,Caves_1106,Ground,0,0,0,0,0,0
453,Caves_1107,Ground,0,0,0,0,0,0
454,Caves_1108,Ground,0,0,0,0,0,0
455,Caves_1109,Ground,0,0,0,0,0,0
456,Caves_111,Ground,0,0,0,0,0,0
457,Caves_1110,Ground,0,0,0,0,0,0
458,Caves_1111,Ground,0,0,0,0,0,0
459,Caves_1112,Ground,0,0,0,0,0,0
460,Caves_1113,Ground,0,0,0,0,0,0
461,Caves_1114,Ground,0,0,0,0,0,0
462,Caves_1115,Ground,0,0,0,0,0,0
463,Caves_1116,Ground,0,0,0,0,0,0
464,Caves_1117,Ground,0,0,0,0,0,0
465,Caves_1118,Ground,0,0,0,0,0,0
466,Caves_1119,Ground,0,0,0,0,0,0
467,Caves_112,Ground,0,0,0,0,0,0
468,Caves_1120,Ground,0,0,0,0,0,0
469,Caves_1121,Ground,0,0,0,0,0,0
470,Caves_1122,Ground,0,0,0,0,0,0
471,Caves_1123,Ground,0,0,0,0,0,0
472,Caves_1124,Ground,0,0,0,0,0,0
473,Caves_1125,Ground,0,0,0,0,0,0
474,Caves_1126,Ground,0,0,0,0,0,0
475,Caves_1127,Ground,0,0,0,0,0,0
476,Caves_1128,Ground,0,0,0,0,0,0
477,Caves_1129,Ground,0,0,0,0,0,0
478,Caves_113,Ground,0,0,0,0,0,0
479,Caves_1130,Ground,0,0,0,0,0,0
480,Caves_1131,Ground,0,0,0,0,0,0
481,Caves_1132,Ground,0,0,0,0,0,0
482,Caves_1133,Ground,0,0,0,0,0,0
483,Caves_1134,Ground,0,0,0,0,0,0
484,Caves_1135,Ground,0,0,0,0,0,0
485,Caves_1136,Ground,0,0,0,0,0,0
486,Caves_1137,Ground,0,0,0,0,0,0
487,Caves_1138,Ground,0,0,0,0,0,0
488,Caves_1139,Ground,0,0,0,0,0,0
489,Caves_114,Ground,0,0,0,0,0,0
490,Caves_1140,Ground,0,0,0,0,0,0
491,Caves_1141,Ground,0,0,0,0,0,0
492,Caves_1142,Ground,0,0,0,0,0,0
493,Caves_1143,Ground,0,0,0,0,0,0
494,Caves_1144,Ground,0,0,0,0,0,0
495,Caves_1145,Ground,0,0,0,0,0,0
496,Caves_1146,Ground,0,0,0,0,0,0
497,Caves_1147,Ground,0,0,0,0,0,0
498,Caves_1148,Ground,0,0,0,0,0,0
499,Caves_1149,Ground,0,0,0,0,0,0
500,Caves_115,Ground,0,0,0,0,0,0
501,Caves_1150,Ground,0,0,0,0,0,0
502,Caves_1151,Ground,0,0,0,0,0,0
